id,horizon,mean_relative_mse,mean_mse,median_mse,q90_mse,median_relative_mse,q90_relative_mse,best_relative_mse
adam_N512_s0_neighbor_moment9_68bb8e9f0850,100000,7.289149840136108e-06,7.289589597771357e-06,6.863937455867036e-07,1.886011074484396e-05,6.863523376464678e-07,1.885897297465945e-05,1.4366366056821158e-07
gd_N512_s2_neighbor_runge_0e5427eb5001,100000,7.381183854107126e-06,1.1556781999740223e-06,1.1383744806391615e-06,1.3303735231462525e-06,7.270666987237658e-06,8.496942807435031e-06,6.147139965404837e-06
adam_N128_s0_neighbor_sine_69e60432f6fd,100000,7.511559210402865e-06,7.511559210402865e-06,4.306283088410703e-06,1.3590875320894973e-05,4.306283088410703e-06,1.3590875320894973e-05,3.946043942619919e-06
adam_N128_s0_neighbor_sine_343b2cb541c2,100000,7.562651198291204e-06,7.562651198291204e-06,7.5246424957427585e-06,7.972942174995338e-06,7.5246424957427585e-06,7.972942174995338e-06,7.088399489703757e-06
adam_N128_s0_neighbor_sine_8da5c0b36311,100000,7.57133819751839e-06,7.57133819751839e-06,7.5232828683165935e-06,7.983645845008443e-06,7.5232828683165935e-06,7.983645845008443e-06,7.092486096504932e-06
gd_N512_s1_neighbor_sine_9abf9abdc116,100000,7.584447855426239e-06,7.584447855426239e-06,7.517627477127354e-06,8.443616937873765e-06,7.517627477127354e-06,8.443616937873765e-06,6.607953175973091e-06
adam_N128_s0_neighbor_sine_382fb833e409,100000,7.67459495875392e-06,7.67459495875392e-06,7.017309647999174e-06,9.513349091443561e-06,7.017309647999174e-06,9.513349091443561e-06,6.356110442795111e-06
gd_N512_s2_neighbor_mixed_de7f7f6c5509,100000,7.946236890104683e-06,7.946236890104683e-06,7.87135847669017e-06,8.895486884940406e-06,7.871358476690172e-06,8.895486884940407e-06,6.8690923588901355e-06
adam_N512_s0_individual_sine_517a95293ca3,100000,8.015076059404287e-06,8.015076059404287e-06,1.4626954706954618e-06,2.120788667037557e-05,1.4626954706954618e-06,2.120788667037557e-05,5.362836886928486e-09
adam_N128_s1_individual_mixed_1b12c618ace6,100000,8.150609385671432e-06,8.150609385671432e-06,8.007242354965086e-06,9.224405351849463e-06,8.007242354965088e-06,9.224405351849465e-06,7.11195621450026e-06
gd_N128_s0_neighbor_sine_cc73a38b8311,100000,8.15967721062346e-06,8.15967721062346e-06,8.101611871098985e-06,8.852432280635786e-06,8.101611871098985e-06,8.852432280635786e-06,7.378190409781922e-06
adam_N128_s1_neighbor_mixed_04f8751ca62a,100000,8.253819172086731e-06,8.25381917208673e-06,2.6718120132451625e-06,2.010972760252266e-05,2.671812013245163e-06,2.0109727602522662e-05,1.3656379329551474e-06
adam_N128_s1_individual_moment9_ad5bb5a19bbf,100000,8.327581914610438e-06,8.328084321312237e-06,6.773823075404482e-06,1.2217127103797388e-05,6.7734144323145974e-06,1.2216390083577988e-05,5.804942741573759e-06
gd_N128_s0_neighbor_sine_ba4b021c1016,100000,8.448919602824965e-06,8.448919602824965e-06,8.366892806419609e-06,9.37540492197741e-06,8.366892806419609e-06,9.37540492197741e-06,7.410368020137186e-06
adam_N128_s0_individual_moment9_1b3f44374607,100000,8.720873853614779e-06,8.721399987793285e-06,7.155402579501364e-06,1.2070666277632777e-05,7.154970916939926e-06,1.2069938092926777e-05,6.3123365881611606e-06
adam_N128_s1_individual_moment9_f678781d426d,100000,8.81589650610443e-06,8.81642837304161e-06,6.921242219201434e-06,1.3225070158322112e-05,6.92082468278591e-06,1.3224272332120678e-05,5.236101500842341e-06
adam_N512_s2_neighbor_moment9_587b5ba33206,100000,8.843001385633619e-06,8.843534887820173e-06,1.1231561350315196e-08,2.6408150358164902e-05,1.12308837861268e-08,2.6406557238881985e-05,8.651141761799494e-09
adam_N128_s1_neighbor_mixed_f13cab27bc7d,100000,9.04605317701305e-06,9.046053177013048e-06,8.968984818696286e-08,2.6151856636205284e-05,8.968984818696289e-08,2.6151856636205287e-05,6.09200775810651e-08
gd_N512_s1_neighbor_mixed_056fc22ee5ef,100000,9.125660289655522e-06,9.12566028965552e-06,9.072969692830758e-06,9.95653307417372e-06,9.07296969283076e-06,9.956533074173722e-06,8.164217919686516e-06
adam_N128_s0_neighbor_moment9_bbc007e9f075,100000,9.146627403830339e-06,9.147179223908923e-06,2.476424209699085e-07,2.6825540476557262e-05,2.4762748149437673e-07,2.682392217746292e-05,1.658757136358906e-07
gd_N128_s1_neighbor_moment9_7a8b5b4ecaa5,100000,9.160730799621702e-06,9.161283470564397e-06,9.158415411251709e-06,9.372281665189046e-06,9.157862913329864e-06,9.371716265399843e-06,8.901290561047131e-06
gd_N1024_s0_neighbor_mixed_2fa22f759411,100000,9.282660251161819e-06,9.282660251161817e-06,9.19471987869244e-06,1.0328014039166392e-05,9.194719878692442e-06,1.0328014039166394e-05,8.10387114799876e-06
adam_N512_s3_neighbor_moment9_2f630115ddde,100000,9.412278106689403e-06,9.41284595359244e-06,2.842563783708115e-07,2.6831151917671396e-05,2.842392300922864e-07,2.6829533280056748e-05,5.424557264769159e-08
gd_N1024_s0_neighbor_mixed_e13324205121,100000,9.483734962999611e-06,9.48373496299961e-06,9.390971568169558e-06,1.0603767089633358e-05,9.39097156816956e-06,1.060376708963336e-05,8.218705551780186e-06
gd_N128_s1_neighbor_sine_6d4763df3bc1,100000,9.57501018460452e-06,9.57501018460452e-06,9.534657971113607e-06,1.0222162701433003e-05,9.534657971113607e-06,1.0222162701433003e-05,8.824904278842969e-06
adam_N128_s0_neighbor_mixed_8fe1a115508a,100000,9.587098624796125e-06,9.587098624796121e-06,7.53980996011073e-06,1.592254580052488e-05,7.539809960110732e-06,1.592254580052488e-05,3.862817790458443e-06
gd_N128_s1_neighbor_moment9_6f9188e4102c,100000,9.851843884824868e-06,9.852438250925802e-06,9.833570784873768e-06,1.0180079775535159e-05,9.83297755698674e-06,1.017946564386853e-05,9.470075001733905e-06
adam_N128_s0_individual_moment9_515ec18b2159,100000,9.906901368954214e-06,9.907499056697533e-06,1.0663669510605673e-05,1.0911025481830719e-05,1.0663026205516387e-05,1.0910367254546499e-05,7.915378512731264e-06
gd_N512_s4_neighbor_moment9_e5627592ecc3,100000,1.0163939157557814e-05,1.0164552352504656e-05,9.91333911913084e-06,1.212107263322168e-05,9.912741079075228e-06,1.21203414076614e-05,8.080802182608678e-06
adam_N128_s0_individual_mixed_7309eb817fba,100000,1.0317949447541903e-05,1.0317949447541901e-05,2.445924744456364e-07,3.0489312562680584e-05,2.4459247444563644e-07,3.048931256268059e-05,2.1132263942652628e-07
gd_N1024_s3_neighbor_mixed_2d33a6abba33,100000,1.0358516068217309e-05,1.0358516068217307e-05,1.0286920108551334e-05,1.1427696328287973e-05,1.0286920108551336e-05,1.1427696328287976e-05,9.127091358378967e-06
gd_N1024_s4_neighbor_mixed_3622d7a29cfa,100000,1.0382924388643396e-05,1.0382924388643393e-05,1.0274449790029507e-05,1.1748061074344729e-05,1.0274449790029509e-05,1.1748061074344733e-05,8.835230611531904e-06
adam_N128_s1_individual_moment9_fc65c2ca58d0,100000,1.042225317293002e-05,1.0422881952075708e-05,9.789381415879675e-06,1.1946957491694938e-05,9.788790853796002e-06,1.194623676994449e-05,8.990535647480263e-06
adam_N512_s0_individual_sine_4b0d69d83a8d,100000,1.0544154663201457e-05,1.0544154663201457e-05,1.786627024002432e-09,2.8709855230429877e-05,1.786627024002432e-09,2.8709855230429877e-05,1.4942312479790703e-09
gd_N128_s1_neighbor_sine_0c71c7c72132,100000,1.0600284152895932e-05,1.0600284152895932e-05,1.0536756124573695e-05,1.139497380160609e-05,1.0536756124573695e-05,1.139497380160609e-05,9.699575627550701e-06
adam_N128_s0_individual_mixed_1dbb40268ad8,100000,1.0621177282679756e-05,1.0621177282679753e-05,8.058955103202427e-06,1.662553055682323e-05,8.058955103202429e-06,1.6625530556823234e-05,6.859308036422407e-06
gd_N512_s4_neighbor_mixed_c62de0246da0,100000,1.0865516523377245e-05,1.0865516523377243e-05,1.077910890188686e-05,1.2060834370296783e-05,1.0779108901886862e-05,1.2060834370296787e-05,9.500737039728457e-06
adam_N128_s0_individual_moment9_f840ab5e823f,100000,1.116830550040625e-05,1.116897928921898e-05,1.1906852034937555e-06,3.1212836214450994e-05,1.1906133732621095e-06,3.121095324383119e-05,1.0741432216594736e-06
adam_N1024_s1_neighbor_mixed_183081bdc535,100000,1.1223109826839604e-05,1.1223109826839601e-05,7.401175924791835e-06,2.3257163128762388e-05,7.401175924791837e-06,2.3257163128762395e-05,4.1160155453136524e-07
adam_N512_s0_collective_moment9_e3c6ac010128,100000,1.12324011969611e-05,1.1233078852695565e-05,2.5871704872357595e-06,2.7586051834196006e-05,2.5870144115115794e-06,2.758438765588285e-05,3.561132786676014e-07
adam_N512_s4_individual_mixed_3bd602566044,100000,1.1237374007213503e-05,1.12373740072135e-05,3.974815437262046e-08,3.326605713534485e-05,3.974815437262047e-08,3.326605713534485e-05,3.3978478777900184e-08
gd_N512_s0_neighbor_mixed_b2cc7a8331c0,100000,1.1732416708736845e-05,1.173241670873684e-05,1.162882912181073e-05,1.3146879452786428e-05,1.1628829121810733e-05,1.3146879452786431e-05,1.0115700697981385e-05
gd_N512_s4_neighbor_moment5_1f865bf99e24,100000,1.2275551591142526e-05,1.2275703255609476e-05,1.2067561583531761e-05,1.3052125320434117e-05,1.2067412490623853e-05,1.305196406338936e-05,1.167841126075859e-05
adam_N128_s0_neighbor_sine_321a8a0bf2b9,100000,1.239951973747754e-05,1.239951973747754e-05,8.809853103864335e-06,2.1083019734979782e-05,8.809853103864335e-06,2.1083019734979782e-05,6.97476777738492e-06
adam_N128_s0_neighbor_mixed_57ec5728c4cd,100000,1.2516643750049285e-05,1.2516643750049283e-05,1.3729171316367456e-06,3.457183439154539e-05,1.3729171316367458e-06,3.4571834391545404e-05,1.0492323557664026e-06
adam_N128_s1_individual_moment9_e68c1b95e846,100000,1.2762035710485134e-05,1.276280564974665e-05,2.8471266811543683e-06,3.310004158610872e-05,2.846954923104102e-06,3.309804476642233e-05,2.0883059135150737e-06
gd_N128_s0_neighbor_sine_47f4191cf288,100000,1.2915409633091401e-05,1.2915409633091401e-05,1.2820604462562217e-05,1.4052008359726342e-05,1.2820604462562217e-05,1.4052008359726342e-05,1.1632697989816503e-05
adam_N128_s0_individual_mixed_f15e7bbc6d63,100000,1.3033886519189637e-05,1.3033886519189633e-05,1.226987947306403e-05,1.8179443921303183e-05,1.2269879473064034e-05,1.8179443921303186e-05,8.537226722847817e-06
adam_N512_s1_individual_mixed_2bf98398966b,100000,1.304314476694725e-05,1.304314476694725e-05,1.2433666931906172e-05,1.5891538336393212e-05,1.2433666931906175e-05,1.5891538336393215e-05,1.0327241990495048e-05
gd_N512_s1_neighbor_moment9_d02e73b1fcfb,100000,1.307872967549278e-05,1.3079518721041341e-05,1.2653390623294159e-05,1.649242631726303e-05,1.2652627284691384e-05,1.649143138191043e-05,9.430710158567131e-06
gd_N512_s3_neighbor_mixed_5e3028fb3345,100000,1.3267693280289065e-05,1.3267693280289063e-05,1.3202398855474226e-05,1.420990037757384e-05,1.3202398855474229e-05,1.4209900377573843e-05,1.2185107693264928e-05
gd_N128_s0_neighbor_moment9_413428274ba6,100000,1.3273034803001372e-05,1.3273835571064254e-05,1.32778353247475e-05,1.3928071288048121e-05,1.3277034315392267e-05,1.392723105203606e-05,1.2478627376328568e-05
adam_N128_s1_individual_mixed_5aca3b483f4b,100000,1.3353826079964142e-05,1.3353826079964137e-05,1.1507031285478579e-05,1.7931538982440623e-05,1.1507031285478582e-05,1.7931538982440627e-05,9.91451627335243e-06
