bundle,target,seed,kappa,step,scaled_hessian_max,scaled_hessian_min,largest_mode_update_eigenvalue,readout_l2,top_mode_slope_fraction,top_mode_hidden_bias_fraction,top_mode_readout_fraction,top_mode_output_bias_fraction
core_N128_s4,moment5,4,1.0,20000,0.00989865989331286,-1.9268061727496375e-07,0.9901013401066872,1.419295609844472,3.089138023976902e-05,0.39415350352822953,0.40377044641694093,0.20204515867458966
core_N128_s4,moment5,4,100.0,20000,0.602228739995499,-5.060699302267274e-07,0.397771260004501,1.454981384458957,5.888247986592243e-07,0.006811954453161009,0.6610974721357614,0.3320899845862791
core_N128_s4,moment9,4,1.0,20000,0.0098988842022195,-5.925079345493999e-08,0.9901011157977805,1.4193191005841226,3.087735670554425e-05,0.3941588652415468,0.4037696616064714,0.20204059579527658
core_N128_s4,moment9,4,100.0,20000,0.6022372685288514,-2.5382130482573875e-07,0.3977627314711486,1.4555130268806469,5.878387810234694e-07,0.006816970522247199,0.661097167130046,0.3320852745089263
core_N128_s4,sine,4,1.0,100000,0.009750762326453622,-3.372713195441602e-06,0.9902492376735463,1.393498778943585,3.055767777073034e-05,0.38687502422639874,0.4079925403570436,0.20510187773878782
core_N128_s4,sine,4,100.0,100000,0.6323130189257246,-8.985479008040037e-05,0.36768698107427544,4.433511614133443,1.1426102629245395e-05,0.059449329051609226,0.6242450586973989,0.31629418614836186
core_N128_s4,runge,4,1.0,100000,0.010707201337576234,-3.306067395472958e-05,0.9892927986624238,1.4889456033619912,0.00018210253930159783,0.3924751330358538,0.42054439678236827,0.18679836764247715
core_N128_s4,runge,4,100.0,100000,0.7212410836173958,-1.174835749396267e-05,0.2787589163826042,6.0029983016548245,0.00040032154718673985,0.083102202037003,0.6394238954368541,0.2770735809789561
core_N128_s4,moment3,4,1.0,100000,0.01035431935855781,-3.129740751367773e-05,0.9896456806414422,1.4960319985725616,2.757377299735419e-05,0.418700329461379,0.38811943841488666,0.19315265835073842
core_N128_s4,moment3,4,100.0,100000,1.0978391566615378,-8.256888252542739e-06,-0.09783915666153775,19.913777964026238,1.91364521740595e-05,0.4630414890206818,0.3560659066934573,0.18087346783368635
core_N128_s4,moment5,4,1.0,100000,0.009898028495121917,-1.9384247814181286e-07,0.9901019715048781,1.4192424291052625,3.09511504178254e-05,0.39414909280452626,0.40376184180030394,0.2020581142447517
