campaign,optimizer,coordinates,eta,n,seed,key,step,completed_updates,failed_update,status,train_mse,validation_mse,advance_seconds,comparison_step,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_mean_mse,core_abs_lambda_median_at_100k,physical_readout_norm_at_100k
parameter_scale,adam,scaled,0.1,512,0,adam_N512_s0_scaled_eta0.1,100000,100000,,continuing,1.0883384655189191e-05,1.0764650583059702e-05,90.84546276275069,100000,True,0.013362534257178212,0.0441234496191785,2.8287046030564996e-06,0.979392158882584,0.012275798904068798,1.2556371108199267,0.735911766935791
parameter_scale,adam,scaled,0.30000000000000004,512,0,adam_N512_s0_scaled_eta0.3,100000,100000,,continuing,0.2849719681793237,0.28499744891002415,91.07742156926543,100000,True,0.11281257388035373,0.3615044256567566,8.408477657423266e-05,7.556611678298355,0.12322132828807317,8.24636598993175,1.399941666449855
parameter_scale,adam,scaled,1e-05,512,0,adam_N512_s0_scaled_eta1e-05,100000,100000,,continuing,0.8323219005803694,0.832360228716266,89.00482000596821,100000,True,0.8337951812665031,0.0008532271452261947,0.8323220505137479,0.8352786464143918,0.8367811897888834,0.00012692006411336922,0.9293423413078133
parameter_scale,adam,scaled,3.0000000000000004e-05,512,0,adam_N512_s0_scaled_eta3e-05,100000,100000,,continuing,0.758418851870488,0.7583843510515818,89.31602069083601,100000,True,0.7684540319522007,0.005982985702779365,0.7584170607875506,0.7791478620920148,0.791393720718744,0.0001511412835396837,2.0562736816103966
parameter_scale,adam,parameter_scale,0.001,512,1,adam_N512_s1_parameter_scale_eta0.001,100000,100000,,continuing,0.00012690273474281913,0.00012690641107452382,22.796962670981884,100000,True,5.497295197068739e-05,0.0002467701660968754,2.4482224889848867e-06,0.0036652548257221445,7.234139658026051e-05,0.018133714578679978,3.5331857630335364
parameter_scale,adam,parameter_scale,0.003,512,1,adam_N512_s1_parameter_scale_eta0.003,2300000,2300000,,continuing,1.4047233499017956e-09,1.3120888133060038e-09,10.993377729319036,100000,True,1.1605382895658512e-05,6.067470013898328e-05,8.151520993320925e-07,0.0008379181049291677,1.4741715291113161e-05,0.159101207923404,1.8232801758003567
parameter_scale,adam,scaled,0.001,512,1,adam_N512_s1_scaled_eta0.001,2300000,2300000,,continuing,2.8459357058359986e-06,2.8462204329213757e-06,11.103283930569887,100000,True,6.425505708771995e-06,2.738511688978388e-05,3.7565220521536475e-07,0.0005298106457191446,1.6178682819779932e-05,0.019819565092965695,1.9568919302720895
parameter_scale,adam,scaled,0.003,512,1,adam_N512_s1_scaled_eta0.003,100000,100000,,continuing,2.79514038404466e-06,2.7950406005213134e-06,23.75548817589879,100000,True,1.03827794588351e-05,2.656916094362731e-05,3.2070259618972835e-09,0.00037882664775249484,1.0448473426820803e-05,0.10300374205816257,0.6281967607461884
parameter_scale,gd,parameter_scale,0.01,1024,0,gd_N1024_s0_parameter_scale_eta0.01,2300000,2300000,,continuing,0.00258470124743345,0.002580937606323431,23.60745639819652,100000,True,0.32913433811358134,0.00784604833384051,0.31601756169165,0.3428251994335926,0.35702983522229936,0.005016759786925043,0.1584179308654939
parameter_scale,gd,parameter_scale,0.1,1024,0,gd_N1024_s0_parameter_scale_eta0.1,100000,209,210,nonfinite,,,50.77885156031698,100000,False,,,,,,,
parameter_scale,gd,scaled,0.01,1024,0,gd_N1024_s0_scaled_eta0.01,100000,100000,,continuing,1.7411115748751156e-05,1.731411367149751e-05,47.42103374376893,100000,True,2.0404837972187482e-05,1.9059234563166944e-06,1.7411362840337762e-05,2.405283653638471e-05,2.989301053569857e-05,0.03355369963909913,0.5372650566696285
parameter_scale,gd,scaled,0.1,1024,0,gd_N1024_s0_scaled_eta0.1,2300000,2300000,,continuing,3.928703950816934e-08,3.844842462397017e-08,23.512110677547753,100000,True,2.1454847311840715e-06,1.68558236314835e-07,1.8770263546626113e-06,2.4633436346601253e-06,2.9325661044462436e-06,0.041313321309362876,0.2399119521939815
parameter_scale,gd,parameter_scale,0.01,1024,1,gd_N1024_s1_parameter_scale_eta0.01,2300000,2300000,,continuing,0.0022335789045122884,0.002233346474784341,23.550532249733806,100000,True,0.2943905879071053,0.009326464759686482,0.2758803804962868,0.31089983841229907,0.3267266220256971,0.005820407896109983,1.7442126919908885
parameter_scale,gd,parameter_scale,0.1,1024,1,gd_N1024_s1_parameter_scale_eta0.1,100000,210,211,nonfinite,,,48.130754105746746,100000,False,,,,,,,
parameter_scale,gd,scaled,0.01,1024,1,gd_N1024_s1_scaled_eta0.01,100000,100000,,continuing,1.6237522302215713e-05,1.6133693672557738e-05,43.754250600002706,100000,True,1.944084087346738e-05,2.054830560204868e-06,1.6237781873665686e-05,2.33956195076561e-05,2.9767331582398404e-05,0.034829044902473495,0.451720105719078
parameter_scale,gd,scaled,0.1,1024,1,gd_N1024_s1_scaled_eta0.1,2300000,2300000,,continuing,4.695931506697221e-08,4.6022721187066864e-08,23.532173267565668,100000,True,1.8417221186505455e-06,1.393864628662786e-07,1.6195132572159047e-06,2.1044922720404935e-06,2.4950772224895255e-06,0.04178169100319584,0.23895445460356377
parameter_scale,gd,parameter_scale,0.0001,512,0,gd_N512_s0_parameter_scale_eta0.0001,100000,100000,,continuing,0.8068754242123322,0.8068901277826146,86.30439626798034,100000,True,0.8088545493107535,0.00115309846911473,0.806875618539454,0.810870138746042,0.812963271488346,0.0006418061298886725,0.43610932138685493
parameter_scale,gd,parameter_scale,0.00030000000000000003,512,0,gd_N512_s0_parameter_scale_eta0.0003,100000,100000,,continuing,0.7759920194397202,0.7759721106757254,86.54869277775288,100000,True,0.7798586358734537,0.002276341186856586,0.7759923914490467,0.7838801403390342,0.7882512169986264,5.5328406289674494e-05,0.953455840381777
parameter_scale,gd,parameter_scale,0.001,512,0,gd_N512_s0_parameter_scale_eta0.001,100000,100000,,continuing,0.7007026617252046,0.700574668003277,86.74000135622919,100000,True,0.7073510627144922,0.004891095708533436,0.7007030188850866,0.7217749201568546,0.7279561954893764,0.00027463385306709053,1.6706564959365928
parameter_scale,gd,parameter_scale,0.003,512,0,gd_N512_s0_parameter_scale_eta0.003,100000,100000,,continuing,0.5290197017402696,0.5288958286485861,87.00294938962907,100000,True,0.5393264583500964,0.0072811367055620815,0.529021198957419,0.5656686806404826,0.6151580188015463,0.0060488987498447475,0.7021200038055787
parameter_scale,gd,parameter_scale,0.01,512,0,gd_N512_s0_parameter_scale_eta0.01,2300000,2300000,,continuing,0.002300539077636142,0.002297505216238084,9.451513055711985,100000,True,0.407079726464281,0.012189223454758126,0.38531659936878054,0.4296336667845596,0.4539580809215625,0.003033428328295691,2.9116780712776738
parameter_scale,gd,parameter_scale,0.03,512,0,gd_N512_s0_parameter_scale_eta0.03,100000,369,370,nonfinite,,,87.40396339539438,100000,False,,,,,,,
parameter_scale,gd,parameter_scale,0.1,512,0,gd_N512_s0_parameter_scale_eta0.1,100000,148,149,nonfinite,,,87.5689705144614,100000,False,,,,,,,
parameter_scale,gd,parameter_scale,0.30000000000000004,512,0,gd_N512_s0_parameter_scale_eta0.3,100000,100,101,nonfinite,,,87.81950561050326,100000,False,,,,,,,
parameter_scale,gd,parameter_scale,1e-05,512,0,gd_N512_s0_parameter_scale_eta1e-05,100000,100000,,continuing,0.8284355873194098,0.828470296945731,85.86098734848201,100000,True,0.8291895651042334,0.000389928256250198,0.8284356570810163,0.8297353165547163,0.8301890592916492,0.0009423435757043027,0.18620304830777537
parameter_scale,gd,parameter_scale,3.0000000000000004e-05,512,0,gd_N512_s0_parameter_scale_eta3e-05,100000,100000,,continuing,0.8219557773526235,0.8219851195297536,86.00678527913988,100000,True,0.822769130073584,0.0004946640404751871,0.8219558502215142,0.8236012965374532,0.8243644516655663,0.0008772666706044575,0.23849031439071824
parameter_scale,gd,scaled,0.0001,512,0,gd_N512_s0_scaled_eta0.0001,100000,100000,,continuing,0.7928761335695204,0.7928843482111707,86.3189637241885,100000,True,0.796332654705697,0.002012745182846872,0.7928764733209288,0.7998487611992132,0.8034893501071643,0.0006240985526368891,0.4455883648856006
parameter_scale,gd,scaled,0.00030000000000000003,512,0,gd_N512_s0_scaled_eta0.0003,100000,100000,,continuing,0.7385023089975813,0.738465252339338,86.59907458350062,100000,True,0.7453310428915545,0.004019995506803108,0.7385029660535343,0.7524321607341041,0.7601428164722618,8.203222199550255e-05,0.946365353918197
parameter_scale,gd,scaled,0.001,512,0,gd_N512_s0_scaled_eta0.001,100000,100000,,continuing,0.6057377678077654,0.6055805178869955,86.8109618127346,100000,True,0.6215226816577227,0.009731929147848983,0.6020374110479788,0.6397556011151169,0.6529799469079481,0.00036888328160056456,1.5112934563235327
parameter_scale,gd,scaled,0.003,512,0,gd_N512_s0_scaled_eta0.003,100000,100000,,continuing,0.0011565660545722256,0.0011551964511985965,87.00233816541731,100000,True,0.0015407755289805695,0.0002679825220595639,0.0011566207136057874,0.0021117103903096797,0.00401715399844948,0.003134853919777586,0.6869497057252174
parameter_scale,gd,scaled,0.01,512,0,gd_N512_s0_scaled_eta0.01,100000,100000,,continuing,0.00014068349619626776,0.00014038140020840968,87.18834612425417,100000,True,0.00016929285811165972,1.8726627615475283e-05,0.00014068575191588276,0.00020623655921704842,0.00026931696544320755,0.0006627994748402231,0.607850574181282
parameter_scale,gd,scaled,0.03,512,0,gd_N512_s0_scaled_eta0.03,100000,100000,,continuing,3.08483725288951e-06,3.07225899628151e-06,87.36213064193726,100000,True,3.7543347002018017e-06,4.373906386688951e-07,3.0848857337615556e-06,4.612760152358466e-06,6.163324899668775e-06,0.05341655519643452,1.0208221566043283
parameter_scale,gd,scaled,0.1,512,0,gd_N512_s0_scaled_eta0.1,2300000,2300000,,continuing,7.667847206588609e-08,7.535420529409093e-08,9.296877512708306,100000,True,2.844999699427622e-06,2.3251589478559937e-07,2.475701135155655e-06,3.2845246378248195e-06,3.938841777670395e-06,0.05976156750931243,0.4123039463816343
parameter_scale,gd,scaled,0.30000000000000004,512,0,gd_N512_s0_scaled_eta0.3,100000,245,246,nonfinite,,,87.76639647968113,100000,False,,,,,,,
parameter_scale,gd,scaled,1e-05,512,0,gd_N512_s0_scaled_eta1e-05,100000,100000,,continuing,0.8281073469027102,0.82814174311688,86.01241927780211,100000,True,0.8287894234798289,0.0003611691374218551,0.8281074245839082,0.8293437980090775,0.8297215962625575,0.0009408820552690025,0.1862152102770299
parameter_scale,gd,scaled,3.0000000000000004e-05,512,0,gd_N512_s0_scaled_eta3e-05,100000,100000,,continuing,0.8189531719588165,0.8189810485521165,86.16088117472827,100000,True,0.8201795611605363,0.0007097706369063085,0.8189532939920768,0.8214119482017544,0.8226859062625456,0.0008664749549497106,0.2411124109326594
parameter_scale,gd,parameter_scale,0.01,512,1,gd_N512_s1_parameter_scale_eta0.01,2300000,2300000,,continuing,0.00596983171877078,0.005965855416746156,9.295145394280553,100000,True,0.2698351945698757,0.024221134092543218,0.2328375400633104,0.3250138859958842,0.39002767875073857,0.008974880714732006,0.2709625347440703
parameter_scale,gd,parameter_scale,0.1,512,1,gd_N512_s1_parameter_scale_eta0.1,100000,149,150,nonfinite,,,20.643224393948913,100000,False,,,,,,,
parameter_scale,gd,scaled,0.01,512,1,gd_N512_s1_scaled_eta0.01,100000,100000,,continuing,2.7485122178157398e-05,2.7311381341856266e-05,20.948219448328018,100000,True,3.3084978514452276e-05,3.599238863018942e-06,2.7485573968065617e-05,4.0025102661476756e-05,5.1357801217196765e-05,0.011135014270897003,0.6140157314364162
parameter_scale,gd,scaled,0.1,512,1,gd_N512_s1_scaled_eta0.1,2300000,2300000,,continuing,5.351238210102381e-08,5.322791635039781e-08,9.439530797302723,100000,True,1.5491725079651924e-06,8.787815438411375e-08,1.4074532101128957e-06,1.713071545125096e-06,1.9532595808866867e-06,0.062091982680193385,1.0571655614341273
