n,seed,coordinates,eta,key,completed_updates,failed_update,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_20k_mse,half_window_ratio,zero_native_steps,zero_physical_steps,sign_crossings,endpoint_mse,validation_mse,lambda_core_abs_quantiles,lambda_halo_abs_quantiles,negative_slopes,mean_late_delta_c_rms,mean_late_delta_gamma_rms,physical_gamma_rate,physical_scaled_ordinary_readout_rate
512,0,scaled,0.001,N512_s0_scaled_eta0.001,100000,,True,0.6215226816577227,0.009731929147848983,0.6020374110479788,0.6397556011151169,0.6529799469079481,0.9739877675110201,0,0,624924,0.6057377678077654,0.6055805178869955,"[7.709325244469246e-08, 3.9220863076117635e-05, 0.00036888328160056456, 0.007309329165331651, 0.20631220603659411]","[6.152424143442403e-06, 0.0009388230252941685, 0.006182172141823541, 0.006656223134822049, 0.009044820393930592]",284,4.6789756438962136e-05,0.05691188266418194,65.536,8.662986733781008e-06
512,0,scaled,0.003,N512_s0_scaled_eta0.003,100000,,True,0.0015407755289805695,0.0002679825220595639,0.0011566207136057874,0.0021117103903096797,0.00401715399844948,0.7436433880097637,0,0,236905,0.0011565660545722256,0.0011551964511985965,"[0.001553585958164637, 0.0018309109382554426, 0.003134853919777586, 0.09882888979766517, 0.1864751612195128]","[0.00026480727599249024, 0.011117880326809899, 0.02346264929864826, 0.03776700904446522, 0.1360743915902624]",279,2.3029130868951087e-06,0.0014371649048018345,196.608,2.5988960201343023e-05
512,0,scaled,0.01,N512_s0_scaled_eta0.01,100000,,True,0.00016929285811165972,1.8726627615475283e-05,0.00014068575191588276,0.00020623655921704842,0.00026931696544320755,0.8265766196921372,0,0,45130,0.00014068349619626776,0.00014038140020840968,"[0.00025026996252521536, 0.0003099059245825943, 0.0006627994748402231, 0.0901490674334495, 0.20993878520592252]","[0.0020182601228914973, 0.016593944501701166, 0.02397741622654497, 0.08462920390943224, 0.13392927426944098]",272,1.129463190342287e-08,3.1486619980835906e-05,655.36,8.662986733781008e-05
512,0,scaled,0.03,N512_s0_scaled_eta0.03,100000,,True,3.7543347002018017e-06,4.373906386688951e-07,3.0848857337615556e-06,4.612760152358466e-06,6.163324899668775e-06,0.8180130265431209,0,0,2765,3.08483725288951e-06,3.07225899628151e-06,"[3.0078575000961213e-06, 0.0017558979550386764, 0.05341655519643452, 0.0958590439524559, 0.13995189757000553]","[0.0011321723842144303, 0.0017600884239216295, 0.03342558705172841, 0.057823388930760555, 0.13347889763224183]",251,1.3958825751400572e-06,0.00024515953702773256,1966.08,0.00025988960201343023
512,0,scaled,0.1,N512_s0_scaled_eta0.1,700000,,True,2.844999699427622e-06,2.3251589478559937e-07,2.475701135155655e-06,3.2845246378248195e-06,3.938841777670395e-06,0.868280703749351,0,0,1120,2.475645224592705e-06,2.4428427861187978e-06,"[0.0025937768357966687, 0.004530655889032141, 0.05976156750931243, 0.08770952236982367, 0.19292804236060687]","[0.02511711959624302, 0.03254161585605914, 0.06665105885178449, 0.13541375296963554, 0.34783336188344155]",250,1.9166264565457947e-05,0.0007491394525771977,6553.6,0.0008662986733781008
512,0,scaled,0.3,N512_s0_scaled_eta0.3,245,246,False,,,,,,,,,,,,,,,,,,
512,0,scaled,1e-05,N512_s0_scaled_eta1e-05,100000,,True,0.8287894234798289,0.0003611691374218551,0.8281074245839082,0.8293437980090775,0.8297215962625575,0.9992457331722,0,0,254,0.8281073469027102,0.82814174311688,"[1.8998311604591956e-05, 0.0005840426516778602, 0.0009408820552690025, 0.0010341033461684485, 0.01428295983483863]","[8.181323865662048e-05, 0.0006894669490134754, 0.0011591349795699864, 0.00824584796260573, 0.009290217351800995]",254,1.5113280534057917e-08,4.143146606083335e-06,0.65536,8.662986733781008e-08
512,0,scaled,3e-05,N512_s0_scaled_eta3e-05,100000,,True,0.8201795611605363,0.0007097706369063087,0.818953293992077,0.8214119482017546,0.8226859062625456,0.9985022448482203,0,0,263,0.8189531719588165,0.8189810485521165,"[6.707179818088582e-06, 0.0008279183438220861, 0.0008664749549497106, 0.0009413056344241996, 0.03994833915086269]","[0.000463147844081939, 0.0009430771684482755, 0.00101810146701726, 0.008323080732329517, 0.00922825034066788]",263,4.347218458092084e-08,3.0139016718031866e-06,1.96608,2.5988960201343026e-07
512,1,scaled_differences,0.003,N512_s1_scaled_differences_eta0.003,612000,,True,0.00012844679678296128,5.873007278332195e-05,5.564646348477727e-05,0.00031728398607825097,0.00016232236341010716,0.9015004079579373,0,0,26385,5.574829715966134e-05,5.5655699201157755e-05,"[1.0198373374058205e-05, 0.0010930823922459248, 0.004412755254398903, 0.013833303427891143, 0.08416066582470821]","[0.00016081963142301463, 0.0011878107280701147, 0.003380187843589448, 0.016502414889881502, 0.06616580291098047]",261,1.66567549471881e-05,0.007331492105856606,196.608,2.5988960201343023e-05
512,1,scaled_differences,0.1,N512_s1_scaled_differences_eta0.1,65,66,False,,,,,,,,,,,,,,,,,,
512,1,scaled,0.003,N512_s1_scaled_eta0.003,100000,,True,0.0266040277373754,0.0034100895820462188,0.021311465681918645,0.033280162476321505,0.04567288506859066,0.8016759379664773,0,0,173265,0.021311005473712168,0.021310672565471957,"[0.001273789020966842, 0.0013628902932338476, 0.004064560802766514, 0.06690890798662313, 0.18762900999893417]","[0.002184761195255592, 0.015647767750695762, 0.02009049899117013, 0.03456169577073953, 0.1725483814602921]",277,2.3029482373530048e-06,0.0014723555174501332,196.608,2.5988960201343023e-05
512,1,scaled,0.1,N512_s1_scaled_eta0.1,666000,,True,1.5491725079651924e-06,8.787815438411375e-08,1.4074532101128957e-06,1.713071545125096e-06,1.9532595808866867e-06,0.9066134390999393,0,0,1930,1.4074408718432223e-06,1.3897479732900222e-06,"[1.356630232800566e-07, 0.003902984144493511, 0.062091982680193385, 0.08852594173610777, 0.1625507653953341]","[1.455767745663639e-07, 1.5842532512138705e-06, 0.05909300569162205, 0.14557226019190855, 0.24055304245476142]",270,8.476385988784053e-09,8.394149739297508e-06,6553.6,0.0008662986733781008
