bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N128_s0,128,0,0,moment5,moment9,1.0,1019,19980,6.851002180258137e-06,1.0889974850027471e-05,0.0004337299195454053,6.618661433369622e-06,6.851002180258137e-06,1.0889974850027471e-05,0.0004337299195454053,6.618661433369622e-06
core_N128_s0,128,0,0,moment5,moment9,10.0,1019,19980,6.8300633189744e-06,1.056005387863876e-05,0.00042173728095758493,3.6439434568839183e-06,6.8300633189744e-06,1.0649779869958487e-05,0.00042173728095758493,3.644120124686619e-06
core_N128_s0,128,0,0,moment5,moment9,100.0,1019,19980,6.7812694473645685e-06,1.052612699689892e-05,0.0004203605718503879,3.02502679319227e-06,6.7812694473645685e-06,1.0727951922194479e-05,0.0004203605718503879,3.031177750565793e-06
core_N128_s0,128,0,1,moment3,moment9,0.0001,1019,19980,1.3877787807814457e-17,6.162975822039155e-33,4.229615294158023e-16,0.0,4.163336342344337e-17,8.366003554272718e-17,4.468689290684078e-16,1.46868708652284e-16
core_N128_s0,128,0,1,moment3,moment9,0.001,1019,19980,0.0,4.068060085163913e-31,5.109688064882817e-16,0.0,4.163336342344337e-17,1.6311702314651452e-16,5.109688064882817e-16,2.00148324148528e-16
core_N128_s0,128,0,1,moment3,moment9,0.01,1019,19980,-2.7755575615628914e-17,4.078964023399185e-17,4.926223477638036e-16,4.807407289046552e-17,4.163336342344337e-17,8.366003554272718e-17,4.934535109233146e-16,1.7333351575345718e-16
core_N128_s0,128,0,1,moment3,moment9,0.1,1019,19980,0.0,4.087924829058001e-17,5.045474630502233e-16,7.3434354326142e-17,4.163336342344337e-17,8.366003554272718e-17,5.045474630502233e-16,1.9229627436923308e-16
core_N128_s0,128,0,1,moment3,moment9,1.0,1019,19980,0.0,1.3645219092623117e-30,4.953305747157772e-16,5.551115123125783e-17,2.7755575615628914e-17,1.2339753591794544e-16,4.953305747157772e-16,1.6653345369377348e-16
core_N128_s0,128,0,1,moment3,moment9,10.0,1019,19980,0.0,4.170357510222218e-17,1.552677826744354e-16,7.3434354326142e-17,2.7755575615628914e-17,8.366003554272718e-17,1.552677826744354e-16,1.46868708652284e-16
core_N128_s0,128,0,1,moment3,moment9,100.0,1019,19980,0.0,4.1805610392793576e-17,5.187745952068789e-17,4.807407289046552e-17,1.3877787807814457e-17,1.2006188014519607e-16,5.187745952068789e-17,1.5453652082766616e-16
core_N128_s0,128,0,1,moment5,moment9,0.0001,1019,19980,-2.7755575615628914e-17,4.077820034584477e-17,5.690782003633994e-16,4.807407289046552e-17,4.163336342344337e-17,1.6518271493909297e-16,5.769491705246975e-16,2.93737417304568e-16
