bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
refine_N128_s0,moment5,128,0,3,10.0,-0.0015477342946712686,-0.0015485013400025616,-7.670453312930148e-07
refine_N128_s0,moment5,128,0,3,100.0,-0.0019005106738471667,-0.0019014138024598948,-9.031286127281213e-07
refine_N128_s0,moment9,128,0,3,0.0001,0.0014558324170945297,0.0014558740792767894,4.166218225964968e-08
refine_N128_s0,moment9,128,0,3,0.001,0.001453270209027288,0.0014533139089620006,4.369993471253775e-08
refine_N128_s0,moment9,128,0,3,0.01,0.0014278592554702457,0.0014279227083236201,6.345285337439055e-08
refine_N128_s0,moment9,128,0,3,0.1,0.0011978218531145668,0.0011978818792279522,6.002611338540298e-08
refine_N128_s0,moment9,128,0,3,1.0,0.0,0.0,0.0
refine_N128_s0,moment9,128,0,3,10.0,-0.0015477134604446607,-0.0015485013400025616,-7.87879557900828e-07
refine_N128_s0,moment9,128,0,3,100.0,-0.0019004410647542463,-0.0019014138024599087,-9.727377056623077e-07
refine_N128_s0,sine,128,0,5,0.0001,-0.002461988259550768,-0.0024611330198858056,8.552396649624816e-07
refine_N128_s0,sine,128,0,5,0.001,-0.0024573629991195417,-0.0024565095611670806,8.534379524610669e-07
refine_N128_s0,sine,128,0,5,0.01,-0.002411942410146861,-0.002411107024481135,8.353856657261627e-07
refine_N128_s0,sine,128,0,5,0.1,-0.0019895593161133457,-0.0019887537593625826,8.055567507631034e-07
refine_N128_s0,sine,128,0,5,1.0,0.0,0.0,0.0
refine_N128_s0,sine,128,0,5,10.0,0.0010059103785447637,0.001005289326356018,-6.210521887456411e-07
refine_N128_s0,sine,128,0,5,100.0,0.0013065052745784567,0.001305027291036237,-1.4779835422196186e-06
refine_N128_s0,runge,128,0,5,0.0001,-0.0012745932749742839,-0.001275659641723964,-1.066366749680192e-06
refine_N128_s0,runge,128,0,5,0.001,-0.0012725854862103703,-0.001273650306647403,-1.0648204370328207e-06
refine_N128_s0,runge,128,0,5,0.01,-0.0012527187978550597,-0.0012537680468005657,-1.049248945506065e-06
refine_N128_s0,runge,128,0,5,0.1,-0.0010557891344378512,-0.0010567139874036457,-9.24852965794587e-07
refine_N128_s0,runge,128,0,5,1.0,0.0,0.0,0.0
