bundle,target,seed,n,degree,kappa,count,last_step,last_loss_discrepancy,last_sample_gradient_error,last_fraction_preactivation_above_radius,last_coarse_discrete_derivative_error,last_tanh_at_reference_slope_gradient_defect,max_abs_loss_discrepancy,max_abs_sample_gradient_error,max_abs_fraction_preactivation_above_radius,max_abs_coarse_discrete_derivative_error,pointwise_p2_checks,pointwise_p2_violations,pointwise_p2_max_error_bound_ratio,pointwise_p4_checks,pointwise_p4_violations,pointwise_p4_max_error_bound_ratio,pointwise_p6_checks,pointwise_p6_violations,pointwise_p6_max_error_bound_ratio,pointwise_p8_checks,pointwise_p8_violations,pointwise_p8_max_error_bound_ratio,max_abs_tanh_at_reference_slope_gradient_defect
refine_N128_s0,moment5,0,128,0,0.01,72,39980,-1.1102230246251565e-16,2.1308248278564242e-16,0.0,1.2197740772593807e-13,,1.1102230246251565e-16,1.4037989128222627e-15,0.0,1.9649621882970797e-06,72,0,0.04017776314573118,72,0,0.041868148668371394,72,0,0.0409427431982305,72,0,0.03706759976770218,
refine_N128_s0,moment5,0,128,0,0.1,72,39980,0.0,2.0765040785875208e-16,0.0,3.5793933566246545e-14,,1.1102230246251565e-16,1.4772872010664797e-15,0.0,9.614364201602914e-06,72,0,0.04018563654901751,72,0,0.042047689585512395,72,0,0.04115481879951314,72,0,0.03730766635459891,
refine_N128_s0,moment5,0,128,0,1.0,72,39980,5.551115123125783e-17,2.1219156703605623e-16,0.0,1.280864639235014e-13,,1.1102230246251565e-16,1.3849928099190474e-15,0.0,0.00011397000154631407,72,0,0.04054792459223851,72,0,0.042999916565940786,72,0,0.04220555689830692,72,0,0.038444887558590456,
refine_N128_s0,moment5,0,128,0,10.0,72,39980,5.551115123125783e-17,2.0110825887903442e-16,0.0,9.29629079361327e-14,,1.1102230246251565e-16,1.3605656729182565e-15,0.0,0.0011589020741070983,72,0,0.04126461118028438,72,0,0.04395541736543634,72,0,0.04307461382373918,72,0,0.03933834454224246,
refine_N128_s0,moment5,0,128,0,100.0,72,39980,-5.551115123125783e-17,2.0801584926633282e-16,0.0,8.888673295038267e-14,,1.1102230246251565e-16,1.3605656729182565e-15,0.0,0.011608335921805341,72,0,0.04177653016858177,72,0,0.044580865219058755,72,0,0.04370943340163767,72,0,0.0397026546250828,
refine_N128_s0,moment9,0,128,0,0.0001,72,39980,5.551115123125783e-17,1.0874362095918926e-16,0.0,9.692441120083184e-14,,1.1102230246251565e-16,1.2533358693150474e-15,0.0,2.7295013425638265e-06,72,0,0.040526587380074974,72,0,0.02235529698872783,72,0,0.014195133741206288,72,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,0.001,72,39980,0.0,1.1150558419381883e-16,0.0,4.7628565263628556e-14,,1.1102230246251565e-16,1.3061647636724177e-15,0.0,2.6485298664085293e-06,72,0,0.040526587380074974,72,0,0.02235529698872783,72,0,0.014195133741206288,72,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,0.01,72,39980,5.551115123125783e-17,1.1464156360073826e-16,0.0,1.6605777366711212e-13,,2.220446049250313e-16,1.2634693135400375e-15,0.0,1.9649805437739023e-06,72,0,0.040526587380074974,72,0,0.02235529698872783,72,0,0.014195133741206288,72,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,0.1,72,39980,-5.551115123125783e-17,1.1637182686341735e-16,0.0,8.42570970016439e-14,,1.1102230246251565e-16,1.263042706871551e-15,0.0,9.614378816387397e-06,72,0,0.040539135544024295,72,0,0.02235529698872783,72,0,0.014195133741206288,72,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,1.0,72,39980,-5.551115123125783e-17,1.2132700831603136e-16,0.0,4.407145469608238e-14,,1.1102230246251565e-16,1.3137264277867484e-15,0.0,0.00011397044613256199,72,0,0.04092278608622389,72,0,0.0225155488958014,72,0,0.014252311122774057,72,0,0.010609410648598624,
refine_N128_s0,moment9,0,128,0,10.0,72,39980,0.0,1.166271345454775e-16,0.0,2.574472628748344e-13,,1.1102230246251565e-16,1.2007591370470431e-15,0.0,0.0011589068227310729,72,0,0.04165899185135108,72,0,0.0229277512067761,72,0,0.014529794316188374,72,0,0.010853167919057306,
refine_N128_s0,moment9,0,128,0,100.0,72,39980,-5.551115123125783e-17,1.0908882219689319e-16,0.0,1.1223437885618074e-13,,1.1102230246251565e-16,1.1565711603519789e-15,0.0,0.011608383715345848,72,0,0.042167957453312185,72,0,0.023217965824988043,72,0,0.014721010407697846,72,0,0.01098670163287176,
refine_N128_s0,sine,0,128,1,0.0001,72,39980,5.551115123125783e-17,1.9977979094500318e-16,0.0,2.2513884408936956e-14,0.005090799248037922,1.1102230246251565e-16,1.7257672285543987e-15,0.0,9.722277325719659e-09,,,,,,,,,,,,,0.012725960046008932
refine_N128_s0,sine,0,128,1,0.001,72,39980,5.551115123125783e-17,1.5680968996784976e-16,0.0,2.1398203605862127e-14,0.0050909082769936735,5.551115123125783e-17,2.295899199584589e-15,0.0,9.722307697441663e-08,,,,,,,,,,,,,0.012725960046008932
refine_N128_s0,sine,0,128,1,0.01,72,39980,5.551115123125783e-17,2.679256176896532e-16,0.0,1.562817259136187e-14,0.0050918295588897764,5.551115123125783e-17,2.9047856615093236e-15,0.0,9.722311801328188e-07,,,,,,,,,,,,,0.012725960046008932
refine_N128_s0,sine,0,128,1,0.1,72,39980,5.551115123125783e-17,1.757592974876474e-16,0.0,3.967987224758092e-14,0.005087124848627122,5.551115123125783e-17,2.3295103301428893e-15,0.0,9.72231223287247e-06,,,,,,,,,,,,,0.012725960046008932
refine_N128_s0,sine,0,128,1,1.0,72,39980,5.551115123125783e-17,1.7665188539208041e-16,0.0,1.0790647250244964e-14,0.004743641654677951,1.1102230246251565e-16,2.2260112799426425e-15,0.0,9.722312251153106e-05,,,,,,,,,,,,,0.012725960046008932
refine_N128_s0,sine,0,128,1,10.0,72,39980,2.7755575615628914e-17,2.1122878146786258e-16,0.0,2.31568281719776e-15,0.0041062431894025395,5.551115123125783e-17,2.0602913897571282e-15,0.0,0.0009722312251571664,,,,,,,,,,,,,0.012725960046008932
refine_N128_s0,sine,0,128,1,100.0,72,39980,5.551115123125783e-17,1.6921022299366198e-16,0.0,7.534990473871764e-16,0.003983280552115119,5.551115123125783e-17,1.304329156970811e-15,0.0,0.00972231225165877,,,,,,,,,,,,,0.012725960046008932
